Open time,BTCUSDT,ETHUSDT
2021-02-18 00:00:00+00:00,51552.6,1939.61
2021-02-19 00:00:00+00:00,55906.0,1955.0
2021-02-20 00:00:00+00:00,55841.19,1913.0
2021-02-21 00:00:00+00:00,57408.57,1933.53
2021-02-22 00:00:00+00:00,54087.67,1777.58
2021-02-23 00:00:00+00:00,48891.0,1577.89
2021-02-24 00:00:00+00:00,49676.2,1623.39
2021-02-25 00:00:00+00:00,47073.73,1481.75
2021-02-26 00:00:00+00:00,46276.87,1444.59
2021-02-27 00:00:00+00:00,46106.43,1458.13
2021-02-28 00:00:00+00:00,45135.66,1419.18
2021-03-01 00:00:00+00:00,49587.03,1569.86
2021-03-02 00:00:00+00:00,48440.65,1486.78
2021-03-03 00:00:00+00:00,50349.37,1567.69
2021-03-04 00:00:00+00:00,48374.09,1539.23
2021-03-05 00:00:00+00:00,48751.71,1528.31
2021-03-06 00:00:00+00:00,48882.2,1650.35
2021-03-07 00:00:00+00:00,50971.75,1726.16
2021-03-08 00:00:00+00:00,52375.17,1833.18
2021-03-09 00:00:00+00:00,54884.5,1870.51
2021-03-10 00:00:00+00:00,55851.59,1795.12
2021-03-11 00:00:00+00:00,57773.16,1825.78
2021-03-12 00:00:00+00:00,57221.72,1766.1
2021-03-13 00:00:00+00:00,61188.39,1922.35
2021-03-14 00:00:00+00:00,58968.31,1848.1
2021-03-15 00:00:00+00:00,55605.2,1793.48
2021-03-16 00:00:00+00:00,56900.75,1805.12
2021-03-17 00:00:00+00:00,58912.97,1823.58
2021-03-18 00:00:00+00:00,57648.16,1776.08
2021-03-19 00:00:00+00:00,58030.01,1809.1
2021-03-20 00:00:00+00:00,58102.28,1806.1
2021-03-21 00:00:00+00:00,57351.56,1782.98
2021-03-22 00:00:00+00:00,54083.25,1680.97
2021-03-23 00:00:00+00:00,54340.89,1668.08
2021-03-24 00:00:00+00:00,52303.65,1581.84
2021-03-25 00:00:00+00:00,51293.78,1585.74
2021-03-26 00:00:00+00:00,55025.59,1698.84
2021-03-27 00:00:00+00:00,55817.14,1712.63
2021-03-28 00:00:00+00:00,55777.63,1687.01
2021-03-29 00:00:00+00:00,57635.47,1816.74
2021-03-30 00:00:00+00:00,58746.57,1840.46
2021-03-31 00:00:00+00:00,58740.55,1919.37
2021-04-01 00:00:00+00:00,58720.44,1968.05
2021-04-02 00:00:00+00:00,58950.01,2133.69
2021-04-03 00:00:00+00:00,57051.94,2008.52
2021-04-04 00:00:00+00:00,58202.01,2075.69
2021-04-05 00:00:00+00:00,59129.99,2107.38
2021-04-06 00:00:00+00:00,57991.15,2112.21
2021-04-07 00:00:00+00:00,55953.45,1963.47
2021-04-08 00:00:00+00:00,58077.52,2080.46
2021-04-09 00:00:00+00:00,58142.54,2066.87
2021-04-10 00:00:00+00:00,59769.13,2133.49
2021-04-11 00:00:00+00:00,60002.43,2151.36
2021-04-12 00:00:00+00:00,59860.0,2137.69
2021-04-13 00:00:00+00:00,63575.0,2299.19
2021-04-14 00:00:00+00:00,62959.53,2432.6
2021-04-15 00:00:00+00:00,63159.98,2514.04
2021-04-16 00:00:00+00:00,61334.8,2422.67
2021-04-17 00:00:00+00:00,60006.66,2317.6
2021-04-18 00:00:00+00:00,56150.01,2235.64
2021-04-19 00:00:00+00:00,55633.14,2161.12
2021-04-20 00:00:00+00:00,56425.0,2330.03
2021-04-21 00:00:00+00:00,53787.63,2357.06
2021-04-22 00:00:00+00:00,51690.96,2397.94
2021-04-23 00:00:00+00:00,51125.14,2367.39
2021-04-24 00:00:00+00:00,50047.84,2213.35
2021-04-25 00:00:00+00:00,49066.77,2320.49
2021-04-26 00:00:00+00:00,54001.39,2532.6
2021-04-27 00:00:00+00:00,55011.97,2666.13
2021-04-28 00:00:00+00:00,54846.22,2748.24
2021-04-29 00:00:00+00:00,53555.0,2757.04
2021-04-30 00:00:00+00:00,57694.27,2772.42
2021-05-01 00:00:00+00:00,57800.37,2944.77
2021-05-02 00:00:00+00:00,56578.21,2949.56
2021-05-03 00:00:00+00:00,57169.39,3431.04
2021-05-04 00:00:00+00:00,53200.01,3239.01
2021-05-05 00:00:00+00:00,57436.11,3524.26
2021-05-06 00:00:00+00:00,56393.68,3489.73
2021-05-07 00:00:00+00:00,57314.75,3479.53
